PariticipantID,SessionIndex,SessionStart,SessionEnd,PracticeStart,PracticeEnd,MainStart,MainEnd,QuestionStart,QuestionEnd,TrialStatus,TrialIndex,TrialStart,TrialVisualizationStart,TrialVisualizationEnd,TrialAnswerStart,TrialAnswerEnd,TrialFeedbackStart,TrialEnd,TrialAnswer,TrialIntAccuracy,TrialSolution,TrialDataset,FactorStereo,FactorMotion,FactorPerspective,FactorShading,Dim,Step,BinIndex,BinLower,BinUpper,File
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,20,1553001026332,1553001027333,1553001030082,1553001031083,1553001033376,-999,1553001033427,82,80,0.801,cifar10,no,yes,no,shading-1,3,6.33333,2,79.8333,86.1667,cifar10-e0015-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,21,1553001033427,1553001034428,1553001038594,1553001039595,1553001042169,-999,1553001042220,90,90,0.9002,cifar10,no,yes,no,shading-1,3,6.33333,3,86.1667,92.5,cifar10-e0100-f0-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,22,1553001042220,1553001043221,1553001046346,1553001047347,1553001049240,-999,1553001049291,77,78,0.7828,cifar10,no,yes,no,shading-1,3,6.33333,1,73.5,79.8333,cifar10-e0024-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,23,1553001049291,1553001050292,1553001053706,1553001054707,1553001057784,-999,1553001057835,30,40,0.4054,cifar10,no,yes,no,shading-1,3,6.33333,0,38.5,73.5,cifar10-e0001-f0-5k-l-2-tsne.txt
P1,2,1553001407685,1553002124175,1553001407685,1553001702329,1553001716545,1553002124175,1553002132390,1553002222252,practice,0,1553001495131,1553001496147,1553001517837,1553001518849,1553001524964,1553001524964,1553001527161,39,87,0.871,babi-q1,yes,yes,no,shading-2,3,6.66667,3,86.8333,93.5,babi-q1-e0138-f0-1k-l-2-tsne.txt
P1,2,1553001407685,1553002124175,1553001407685,1553001702329,1553001716545,1553002124175,1553002132390,1553002222252,practice,1,1553001527161,1553001528177,1553001565860,1553001566871,1553001570378,1553001570378,1553001571575,78,73,0.735,babi-q1,yes,yes,no,flat,3,6.66667,1,73.5,80.1667,babi-q1-e0076-f0-1k-l-2-tsne.txt
P1,2,1553001407685,1553002124175,1553001407685,1553001702329,1553001716545,1553002124175,1553002132390,1553002222252,practice,2,1553001571575,1553001572591,1553001581153,1553001582154,1553001585651,1553001585651,1553001587457,77,85,0.854,babi-q1,yes,yes,no,shading-1,3,6.66667,2,80.1667,86.8333,babi-q1-e0126-f0-1k-l-2-tsne.txt
P1,2,1553001407685,1553002124175,1553001407685,1553001702329,1553001716545,1553002124175,1553002132390,1553002222252,practice,3,1553001587457,1553001588473,1553001631553,1553001632554,1553001637368,1553001637368,1553001638934,67,49,0.494,babi-q1,yes,yes,yes,shading-1,3,6.66667,0,38.5,73.5,babi-q1-e0049-f0-1k-l-2-tsne.txt
P1,2,1553001407685,1553002124175,1553001407685,1553001702329,1553001716545,1553002124175,1553002132390,1553002222252,practice,4,1553001638934,1553001639951,1553001660319,1553001661320,1553001665379,1553001665379,1553001668022,61,50,0.506,babi-q1,yes,yes,yes,flat,3,6.66667,0,38.5,73.5,babi-q1-e0035-f0-1k-l-2-tsne.txt
P1,2,1553001407685,1553002124175,1553001407685,1553001702329,1553001716545,1553002124175,1553002132390,1553002222252,practice,5,1553001668022,1553001669038,1553001694814,1553001695815,1553001699468,1553001699468,1553001702329,75,83,0.834,babi-q1,yes,yes,yes,shading-2,3,6.66667,2,80.1667,86.8333,babi-q1-e0109-f0-1k-l-2-tsne.txt
P1,2,1553001407685,1553002124175,1553001407685,1553001702329,1553001716545,1553002124175,1553002132390,1553002222252,main,0,1553001724730,1553001725746,1553001743760,1553001744761,1553001747054,-999,1553001747105,85,80,0.803,babi-q1,yes,yes,yes,shading-1,3,6.66667,2,80.1667,86.8333,babi-q1-e0095-f0-1k-l-2-tsne.txt
P1,2,1553001407685,1553002124175,1553001407685,1553001702329,1553001716545,1553002124175,1553002132390,1553002222252,main,1,1553001747105,1553001748126,1553001757398,1553001758399,1553001762527,-999,1553001762578,83,90,0.901,babi-q1,yes,yes,yes,shading-1,3,6.66667,3,86.8333,93.5,babi-q1-e0174-f0-1k-l-2-tsne.txt
P1,2,1553001407685,1553002124175,1553001407685,1553001702329,1553001716545,1553002124175,1553002132390,1553002222252,main,2,1553001762578,1553001763597,1553001782531,1553001783532,1553001788390,-999,1553001788441,64,79,0.79,babi-q1,yes,yes,yes,shading-1,3,6.66667,1,73.5,80.1667,babi-q1-e0091-f0-1k-l-2-tsne.txt
P1,2,1553001407685,1553002124175,1553001407685,1553001702329,1553001716545,1553002124175,1553002132390,1553002222252,main,3,1553001788441,1553001789463,1553001799314,1553001800325,1553001804955,-999,1553001805006,36,56,0.564,babi-q1,yes,yes,yes,shading-1,3,6.66667,0,38.5,73.5,babi-q1-e0067-f0-1k-l-2-tsne.txt
